100001|Russ Couto|10011101001101011000111111101100101|1001/100/11110011010|1001000101101100|
100010|Robert Godfrey|10011101011010000011110010010010001|1001/1100/11110110111|1000011110101011|
100011|Lorenzo Black|1111111110011000110001010010001000|10001/111/11110001010|1011101110000001|
100100|Alicia Johnson|110010000100000010111111011011001011|1/1010/11110011110|1100000011101100|
100101|Gene Gutierrez|101010011100000001100000001011101100|10010/101/11110010100|1110001011001111|
100110|Leland Downing|1000101011011100011000001001111100001|10111/1011/11110001100|110001001101010|
100111|Caroline Schaich|1001011100111000111101000100111000111|11001/1001/11110010011|1010010100000110|
101000|Floyd Bannister|10001000000100001011000000101110101|110/101/11111000101|1100110010001000|
101001|Matthew Allen|11011110000101110101100000010000110|11100/1010/11110100000|1001000111000100|
101010|Margaret Holmes|1001001000011000111000100111111101110|11001/101/11111000101|10000010110011110|
101011|Tiffany Kilgallon|10000110110100000101110100101011100|10001/1/11111010001|101100101101111|
101100|Erick Similien|101111100110100010100011011011111101|1111/100/11111000100|10001111010110000|
101101|Ronald Simpson|111000110001000100110010010011001101|1001/111/11110101010|10101111101110001|
101110|Charlene Allen|10110011011111000101010110100011101|1/110/11110011000|10111100111101011|
101111|Joan Rimbey|10101010011010011111111110001110011|10111/1000/11111001110|1000101011111010|
110000|Harold Hamilton|1011000110011010100011010100101000101|10010/111/11110010100|1111100000111111|
110001|Javier Dye|1010001001110110101001001011011100011|10100/1011/11111001100|1000001101111100|
110010|Alan Gage|1001100000010101101101001010110110100|11110/100/11110111000|10101001011001|
110011|Micheal Slaton|1110011010001001110111000100000011|10010/1001/11111011000|10111111001010000|
110100|James Silcox|11001101001100110100001001000000101|1101/11/11111011011|110000010010010|
110101|James Bertog|1000000011001010010100111001110101100|11001/1000/11111000110|1101011010100110|
110110|Irene Olague|11110111001101010001011000101111011|10000/1001/11110010111|11011101111|
110111|William Jacobs|1010101001110101001101111010110111001|10100/110/11110011101|1111110000010101|
111000|Thomas Marcus|111100110010001001011110110111000001|11011/101/11110111010|1011100001101000|
111001|Edmundo Lewis|1000111111100101100011001100000001101|11000/110/11110110100|1011001111010|
111010|Donald Fulton|10111100111001000111000110101001000|10010/1001/11111000000|1101000011100010|
111011|Jeanette Jephson|1001010011100100011010110111000001001|101/1010/11111001111|111100100010101|
111100|Marcella Estevez|1110011110111010110001001000110110|10010/101/11111001001|1111100111111100|
111101|Sarah Loose|100010000100001100111111011010110010|11001/1100/11111011100|1000010110011111|
111110|James Davis|1010001010101010000100010101010110100|10001/100/11111100011|1101111000110111|
111111|Miriam Fox|110101000110000110000101110010111000|111/10/11111100000|101110010001001|
1000000|Joseph Guerrero|1011110011000111011101111001010101|11011/11/11110011101|10100110010111101|
1000001|Charles Bowe|1010000011001111000011000111001100100|1010/1010/11111001001|1100110000110|
1000010|Robert Milar|1010111100110001000010001110100000101|11111/1100/11110100010|1010001011110101|
1000011|Diana Mendoza|100101001111011001001111000001101101|1000/1100/11110100110|110000011010101|
1000100|Michael Williams|101000110010100110011010010110000101|10101/1/11110100110|1110101101010000|
1000101|Angel Bedard|1000110111000000100001010111001100001|11010/1011/11110100110|10010001010110110|
1000110|Pam Laperouse|1011010011111110110101100100111110000|1000/1100/11110001110|1010100011000101|
1000111|Tracy Nickles|110011110111111101011011010100101010|11011/1100/11110011101|10111100100101111|
1001000|Dorthy Erikson|111101100110001100110100000111000000|1010/1011/11111100101|10001100010001011|
1001001|Lucile Rozzi|101000100001001110000100110111100010|11011/1011/11111000110|10100010001010001|
1001010|Keith Alteri|101111111100001011110000001100001000|10111/10/11111100101|10011010011010110|
1001011|Wanda Weber|110100110100110011101000100100100010|111/1/11111000001|111101111001011|
1001100|Jared Curry|101001111001001100100001000010011100|10/11/11110110011|110010001101001|
1001101|Dennis Smith|10001111111001001001111110111011011|1100/1001/11110011000|111010100111111|
1001110|Barbara Labeau|110000111001111101010110011010011111|10010/1001/11110010110|10111111000000011|
1001111|Leonard Berman|10011110110010100010000100010100001|10001/1011/11110101111|111101000001101|
1010000|Joseph Peter|1011100001110000101110001010101111010|10110/10/11110110010|10011000011011111|
1010001|Margarita Losey|1011001100111000011110010101000011100|10000/10/11111001011|10001001101000101|
1010010|Isaac Vandergriff|111011011111001100111110011111111011|1101/100/11110100001|110011111011100|
1010011|William Picking|101001001111001100101101111101100011|1000/11/11110111100|1111010001111|
1010100|Claire Shouse|1010110001010011100100101101101101100|1100/101/11110010110|1000010101000010|
1010101|Marilyn Dawkins|111100100111110001010001110101010000|1000/101/11110011001|1001110010010100|
1010110|Michael Rankin|100100000111011110000011110111011100|11000/1011/11110110110|1000101101111100|
1010111|Kenneth Mccoy|100000000111100111010011111001100010|10010/1000/11110100100|10010001111100111|
1011000|Carl Lederman|100110001111101011001111011000011010|10100/1010/11111001100|111010010000000|
1011001|Matthew Fuller|111110001100101110010011111001100001|10100/1011/11110100100|10001010011100010|
1011010|James Scruggs|1011011010111110010011100101100000101|101/1/11111000011|1100100101000110|
1011011|Jamie Yi|1000110101010011101110100101000110001|1100/10/11110100001|10100000100011110|
1011100|Brian Graves|1001111000110001011011111011100101000|1000/110/11110011111|10110101011111001|
1011101|Nina Robertson|1010101011111111111011101000010100|10110/1100/11111011101|1111001101000011|
1011110|Tammy Mizell|1010001111101011100100000110001100|1/10/11110100001|10010011110000101|
1011111|Nancy Kelly|110000111100110110101100011001010111|10101/11/11110111110|101100011110101|
1100000|Diana White|10100101001111100100111110100110010|1011/100/11110100011|10011010110010111|
1100001|Jerry Willemsen|1001010101101110101101101000010110001|1100/1010/11110010110|11001010011000|
1100010|Samuel Coulter|1010110100101011011010011111010111111|101/1000/11110011110|10110000110110|
1100011|Robert Jackson|1001011111000011001010010111001110|11010/111/11111100011|11100110111010|
